cut,carat
Ideal,0.23
Premium,0.21
Good,0.23
Premium,0.29
Good,0.31
Very Good,0.24
Very Good,0.24
Very Good,0.26
Fair,0.22
Very Good,0.23
Good,0.3
Ideal,0.23
Premium,0.22
Ideal,0.31
Premium,0.2
Premium,0.32
Ideal,0.3
Good,0.3
Good,0.3
Very Good,0.3
Good,0.3
Very Good,0.23
Very Good,0.23
Very Good,0.31
Very Good,0.31
Very Good,0.23
Premium,0.24
Very Good,0.3
Very Good,0.23
Very Good,0.23
Very Good,0.23
Very Good,0.23
Very Good,0.23
Very Good,0.23
Very Good,0.23
Good,0.23
Good,0.23
Good,0.31
Very Good,0.26
Ideal,0.33
Ideal,0.33
Ideal,0.33
Good,0.26
Good,0.26
Good,0.32
Premium,0.29
Very Good,0.32
Good,0.32
Very Good,0.25
Very Good,0.29
Very Good,0.24
Ideal,0.23
Ideal,0.32
Premium,0.22
Premium,0.22
Ideal,0.3
Premium,0.3
Very Good,0.3
Very Good,0.3
Good,0.3
Ideal,0.35
Premium,0.3
Ideal,0.3
Ideal,0.3
Premium,0.42
Ideal,0.28
Ideal,0.32
Very Good,0.31
Premium,0.31
Premium,0.24
Very Good,0.24
Very Good,0.3
Premium,0.3
Premium,0.3
Good,0.3
Very Good,0.26
Very Good,0.26
Very Good,0.26
Very Good,0.26
Very Good,0.26
Very Good,0.26
Very Good,0.26
Ideal,0.26
Ideal,0.38
Good,0.26
Premium,0.24
Premium,0.24
Premium,0.24
Premium,0.24
Premium,0.32
Ideal,0.7
Fair,0.86
Ideal,0.7
Very Good,0.71
Very Good,0.78
Good,0.7
Good,0.7
Fair,0.96
Very Good,0.73
Premium,0.8
Very Good,0.75
Premium,0.75
Ideal,0.74
Premium,0.75
Ideal,0.8
Ideal,0.75
Premium,0.8
Ideal,0.74
Ideal,0.81
Ideal,0.59
Ideal,0.8
Ideal,0.74
Premium,0.9
Very Good,0.74
Ideal,0.73
Ideal,0.73
Premium,0.8
Ideal,0.71
Ideal,0.7
Ideal,0.8
Ideal,0.71
Ideal,0.74
Very Good,0.7
Fair,0.7
Fair,0.7
Premium,0.7
Premium,0.91
Very Good,0.61
Fair,0.91
Fair,0.91
Ideal,0.77
Very Good,0.71
Ideal,0.71
Very Good,0.7
Very Good,0.77
Premium,0.63
Very Good,0.71
Premium,0.71
Ideal,0.76
Ideal,0.64
Premium,0.71
Premium,0.71
Very Good,0.7
Very Good,0.7
Ideal,0.71
Good,0.7
Very Good,0.71
Very Good,0.73
Very Good,0.7
Ideal,0.7
Premium,0.71
Ideal,0.74
Premium,0.71
Premium,0.73
Very Good,0.76
Ideal,0.76
Ideal,0.71
Premium,0.73
Premium,0.73
Ideal,0.73
Premium,0.73
Very Good,0.72
Very Good,0.73
Ideal,0.71
